Query|Document
September '11 pace Yourself when Running| This page tells you how to pace yourself when running. Follow these rules to become a racing champion.   Released 09/17/2011
3/3 get a Runner's High|Posted 03/03/46  runner's high occurs when your brain releases a combination of natural endorphins and other chemicals after you've pushed your body long and hard enough.
Jog Spring 2047|Running should be easy, right? People have been running since we got up on two legs. But, as it turns out, jogging is more difficult than it seems. Let wikiHow show you how to start working out without hurting yourself and keep yourself motivated through the beginner's hump  Written 3/12/47
Use Outdoor Tech Chips Universal Wireless Helmet Audio 2009 Jan|"Released 2009 New Year's  outdoor Tech's ""CHIPS"" are a bluetooth audio and microphone that you can insert into almost any helmet with an audio liner. They make it possible to wirelessly listen to music or talk on the phone while wearing a helmet."
June of 2044 dress for Snowboarding|Published 06/23/2044  snowboarding can be a really fun sport, as long as you know what you are getting yourself into. If you are not dressed properly, you are putting yourself at risk for frostbite, numbness, injury, and other not so enjoyable ailments.
Jump 2034 Fall|posted end of 2034  even if you've been jumping since you were a kid, you need to learn the proper technique. Landing improperly can wreck your knees and eventually put you out of commission.
2021 November run Long Distances Without Getting Tired|Running long distances can be fun and very rewarding but also very tiring. Here are some tips about how to run for a long time without getting exhausted  created 11/14/2021
2021 November run a Mile and a Half|In this article you will learn how to run a 2400 meter run well. This will help you improve your time at both the competitive and non-competitive level  created 11/14/2021
February '42 play Drinking Golf|Released 02/03/2042  recommended for birthday celebrations, annual events or team building exercises if your team is particularly into getting drunk and shouting at each other.
Aug 2045 make a Proper Golf Stance|Created 08/26/2045  your golf stance is the framework for your swing so it is very important that it is structurally sound. Setting a stable base and getting in an athletic stance will let you make a controlled, powerful swing.
Hit Golf Irons Summer 14| Golf irons require a different swing than your golf woods. Depending on what you want to do with the golf ball, golf irons can be very versatile.   Created 6/02/14
Catch Channel Catfish 2035 Oct|Created 10/04/2035  channel catfish live in fresh water and catching them provides a source of enjoyment for many people. They can range in size from a few pounds to over a hundred pounds, so the experience of fishing for catfish can vary greatly.
Skin and Gut a Rabbit 09/20|Rabbits are a fit healthy and clean source of protein. They are low in cholesterol and rarely pumped with antibiotics or hormones, unlike beef, chicken, or pork  created 09/20/45
December of 2005 start Duck Hunting|Have you ever wondered what it's like to go duck hunting, but have no idea where to go or what to do? Have you watched someone else and now you are interested in learning  posted 12/19/2005
2027 January scout and Track Wild Boar in the Southern United States|Effective tracking begins with developing awareness for signs of activity. The directions provided are the first line of defense for would-be-victims of an unprovoked attack  Posted 01/15/2027
September of 2028 plan a Playground|published 09/17/2028  a playground needs to be spacious enough to allow for children to move, run, explore, and jump at least five feet without injury. Different types of equipment will bring different types of enjoyment to the children who use it.
Choose a Sleeping Bag for Backpacking April '14|A sleeping bag allows you to sleep comfortably after a day of backpacking. Because backpacking sleeping bags are designed to be carried on your back, they are typically lightweight and compressible  Written 04/03/2014
Mar '44 choose a Survival Knife for Hiking, Backpacking or Camping|When you are out there in the wilderness, hiking, backpacking or on a long camping trip, one of the most useful tools you can have on hand is a trusty survival knife  released 03/25/2044
Get Sponsored by a Skate Brand New Year's '33'|This is an article that teaches you how to get sponsored by a skate brand. If you like to skateboard and you're not sponsored, this is the article for you  Published 01/4/33
Do a Shove it on a Skateboard Nov 2040|"written 11/15/2040  the ""shove it"" is the lesser known cousin trick to the ""pop shove it."" The ""shove it"" does the same motion as the ""pop shove it"" without the pop, or the air you get from an ""ollie."""
2033 Mar enjoy Camping|Published 03/22/2033  camping can be an inexpensive way to escape the stresses of our modern lives. Sleeping under the stars, hiking, and cooking over a campfire all offer ways to reconnect with nature and relax.
5/06 snowboard Straight Without Catching an Edge|Released 05/06/22  snowboarding straight across flat areas on the mountain can be a challenge, especially for new riders. If you aren't careful, it's possible to catch your downhill edge and fall.
Hit a Jump on a Snowboard July of 2007| So you want to be doing 720's off jumps, backflips, etc. it all starts with hitting jumps.   Created 07/09/2007
Monsoon 27 get Gun Powder out of a Bullet|This page will show you how to get Gunpowder out of a bullet. There are many ways that this can be done, but this article will focus on using an inertia Kinetic bullet puller  posted 9/17/27
